,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,BLOCK,PLAN,DISTRICT_LOT,LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_IMPROVEMENT_VALUE,PREVIOUS_LAND_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
146752,023-565-683,STRATA,770191030062,77019103,C-3A,Commercial,,LMS2563,200A,62,418,288.0,8TH AVE E,V5T 4S8,WITH AN INTEREST IN THE COMMON PRO,CT LOT 200A  NWD  GROUP 1  TOGETHER,STRATA LOT 62  PLAN LMS2563  DISTRI,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,481000.0,196000.0,2021.0,214000.0,476000.0,1996.0,1996.0,,13,2021
46958,012-448-508,LAND,821216710000,82121671,RS-1,One Family Dwelling,B,VAP3635,326B,11,,1081.0,63RD AVE E,V5X 2L2,,RICT LOT 326B  NEW WESTMINSTER,LOT 11  BLOCK B  PLAN VAP3635  DIST,,,1199000.0,240000.0,2021.0,237000.0,1054000.0,1996.0,1996.0,,17,2021
168697,025-755-528,STRATA,115573060087,11557306,CD-1 (312),Comprehensive Development,,BCS535,185,87,1304,590.0,NICOLA ST,V6G 3J8,"TRICT, OF THE PHBI, TOGETHER WITH A","T LOT 185, NEW WESTMINSTER LAND DIS","STRATA LOT 87, PLAN BCS535, DISTRIC",N INTEREST IN THE COMMON PROPERTY I,N PROPORTION TO THE UNIT ENTITLEMEN,1136000.0,442000.0,2021.0,491000.0,1162000.0,2003.0,2003.0,,28,2021
210327,018-382-878,STRATA,157612510154,15761251,CD-1 (266),Comprehensive Development,,LMS1008,,154,,1233.0,PACIFIC BLVD,,"FALSE CREEK, UNDIV 23/10000 SHARE I","TER SUBSIDY LOT 1200, DISTRICT LOT",LOT 154  PLAN LMS1008  NEW WESTMINS,N COM PROP THEREIN M E V A # 940648,.,36900.0,3100.0,2021.0,3400.0,36500.0,1993.0,1993.0,,30,2021
1394,013-551-710,LAND,210807730000,21080773,C-1,Commercial,2,VAP2683,657,6,,7273.0,FRASER ST,V5X 3V8,,ICT LOT 657  NEW WESTMINSTER,LOT 6  BLOCK 2  PLAN VAP2683  DISTR,,,903000.0,153000.0,2021.0,4500.0,945000.0,1938.0,1938.0,,17,2021
189599,014-284-090,LAND,802250440000,80225044,RS-1,One Family Dwelling,B,VAP1799,726,27,,2108.0,53RD AVE E,V5P 1X7,,RICT LOT 726  NWD GROUP 1.,LOT 27  BLOCK B  PLAN VAP1799  DIST,,,1387000.0,24700.0,2021.0,25700.0,1231000.0,1914.0,1969.0,,24,2021
15274,006-844-545,LAND,684277650000,68427765,RS-1,One Family Dwelling,Q,VAP11660,THSL,21,,2873.0,14TH AVE E,V5M 2H8,TMINSTER,AP11660  DISTRICT LOT THSL  NEW WES,LOT 21  BLOCK Q  SECTION 44  PLAN V,,,1082000.0,215000.0,2021.0,217000.0,1020000.0,1993.0,1993.0,,22,2021
190262,029-700-159,STRATA,638182500061,63818250,CD-1 (464),Comprehensive Development,,EPS2983,200A,61,901,88.0,1ST AVE W,V5Y 0K2,INTEREST IN THE COMMON PROPERTY IN,"200A  NWD GROUP 1, TOGETHER WITH AN",LOT 61  PLAN EPS2983  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,467000.0,209000.0,2021.0,204000.0,430000.0,2015.0,2015.0,,13,2021
173915,002-975-157,STRATA,648124550001,64812455,C-3A,Commercial,,VAS1115,526,1,102,1537.0,8TH AVE W,V6J 1T5,SHARE IN COM PROP THEREIN.,26  NEW WESTMINSTER UNDIV 1446/7092,LOT 1  PLAN VAS1115  DISTRICT LOT 5,,,700000.0,102000.0,2021.0,108000.0,622000.0,1981.0,1981.0,,7,2021
185488,025-500-066,LAND,717144140000,71714414,RS-5,One Family Dwelling,733,BCP1460,526,B,,1288.0,NANTON AVE,V6H 2C6,,TRICT LOT 526  NWD,LOT B  BLOCK 733  PLAN BCP1460  DIS,,,2974000.0,902000.0,2021.0,905000.0,2680000.0,2003.0,2003.0,,8,2021
161827,009-233-890,LAND,281796600000,28179660,RS-1,One Family Dwelling,5,VAP8452,337,12,,6868.0,DAWSON ST,V5S 2W3,P 1.,"RICT LOT 337  NWD PART SW 1/4, GROU",LOT 12  BLOCK 5  PLAN VAP8452  DIST,,,1607000.0,454000.0,2021.0,459000.0,1440000.0,1992.0,1995.0,,24,2021
122730,026-900-807,STRATA,619129520006,61912952,CD-1 (366),Comprehensive Development,,BCS2128,,6,205,628.0,KINGHORNE MEWS,V6Z 3H6,,R DISTRICT LOT FALSE CREEK.,LOT 6  PLAN BCS2128  NEW WESTMINSTE,,,1046000.0,291000.0,2021.0,286000.0,1421000.0,2006.0,2006.0,,30,2021
147223,014-260-778,LAND,594289880000,59428988,RS-1,One Family Dwelling,,VAP1861,THSL,15,,3194.0,TURNER ST,V5K 2H1,,THSL  NEW WESTMINSTER OF LOT 84.,LOT 15  PLAN VAP1861  DISTRICT LOT,,,1192000.0,32700.0,2021.0,32100.0,1068000.0,1948.0,1948.0,,20,2021
33789,003-819-094,STRATA,648217990031,64821799,RM-4,Multiple Family Dwelling,,VAS290,264A,31,431,1065.0,8TH AVE E,V5T 1V1,5 SHARE IN COM PROP THEREIN.,64A  NEW WESTMINSTER UNDIV 654/2380,LOT 31  PLAN VAS290  DISTRICT LOT 2,,,452000.0,39900.0,2021.0,42100.0,431000.0,1974.0,1974.0,,13,2021
10129,008-431-655,LAND,690034590000,69003459,RS-1,One Family Dwelling,168,VAP4339,540,18,,3837.0,16TH AVE W,V6R 3C6,,STRICT LOT 540  NWD OF LOT 3.,LOT 18  BLOCK 168  PLAN VAP4339  DI,,,1675000.0,395000.0,2021.0,396000.0,1570000.0,1929.0,2000.0,,1,2021
80622,006-284-701,STRATA,637132240037,63713224,FCCDD,Comprehensive Development,,VAS1112,FC,37,302,1477.0,FOUNTAIN WAY,V6H 3W9,SHARE IN COM PROP THEREIN.,FC  NEW WESTMINSTER UNDIV 112/6255,LOT 37  PLAN VAS1112  DISTRICT LOT,,,313000.0,262000.0,2021.0,268000.0,288000.0,1982.0,1982.0,,7,2021
124774,011-836-989,LAND,698199060000,69819906,RS-1,One Family Dwelling,28,VAP187,301,1,,3710.0,ST. GEORGE ST,V5V 3Z8,,ICT LOT 301  NWD GROUP 1.,LOT 1  BLOCK 28  PLAN VAP187  DISTR,,,1979000.0,255000.0,2021.0,269000.0,1819000.0,1989.0,1993.0,,15,2021
56071,026-229-676,STRATA,720315930091,72031593,CD-1 (314),Comprehensive Development,,BCS1208,36,91,701,3663.0,CROWLEY DR,V5R 6H4,,36  NEW WESTMINSTER GROUP 1.,LOT 91  PLAN BCS1208  DISTRICT LOT,,,430000.0,204000.0,2021.0,202000.0,397000.0,2005.0,2005.0,,23,2021
98156,015-720-748,STRATA,690153950016,69015395,RM-4,Multiple Family Dwelling,,VAS2586,472,16,403,3199.0,WILLOW ST,V5Z 4L5,8 SHARE IN COM PROP THEREIN.,472  NEW WESTMINSTER UNDIV 724/1334,LOT 16  PLAN VAS2586  DISTRICT LOT,,,525000.0,124000.0,2021.0,155000.0,492000.0,1990.0,1990.0,,7,2021
53684,028-292-430,STRATA,636183860034,63618386,CD-1 (454),Comprehensive Development,,BCS3904,FC,34,502,80.0,WALTER HARDWICK AVE,V5Y 0C8,N THE COMMON PROPERTY IN PROPORTION,FC  NWD TOGETHER WITH AN INTEREST I,LOT 34  PLAN BCS3904  DISTRICT LOT,TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",122000.0,37000.0,2021.0,36100.0,109000.0,2010.0,2010.0,,13,2021
156002,027-506-703,STRATA,648122040024,64812204,C-3A,Commercial,,BCS2890,526,24,504,1690.0,8TH AVE W,V6J 0B1,INTEREST IN THE COMMON PROPERTY IN,"526  NWD GROUP 1, TOGETHER WITH AN",LOT 24  PLAN BCS2890  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,715000.0,298000.0,2021.0,295000.0,678000.0,2008.0,2008.0,,7,2021
207614,025-089-269,STRATA,120606020012,12060602,CD-1 (386),Comprehensive Development,,LMS4456,541,12,3205,938.0,NELSON ST,V6Z 3A7,9 SHARE IN COMM PROP THEREIN.,541  NEW WESTMINSTER UNDIV 73.2/962,LOT 12  PLAN LMS4456  DISTRICT LOT,,,703000.0,257000.0,2021.0,264000.0,635000.0,2002.0,2002.0,,26,2021
135334,024-222-569,STRATA,718314060159,71831406,CD-1 (314),Comprehensive Development,,LMS3434,36,159,1406,5288.0,MELBOURNE ST,V5R 6E6,69 SHARE IN COM PROP THEREIN.,36  NEW WESTMINSTER UNDIV 542/1810,LOT 159  PLAN LMS3434  DISTRICT LOT,,,281000.0,167000.0,2021.0,165000.0,264000.0,1998.0,1998.0,,23,2021
118529,011-033-843,LAND,97710270000,9771027,RS-5,One Family Dwelling,665,VAP6011,526,3,,4183.0,CYPRESS ST,V6J 3P7,,TRICT LOT 526  NEW WESTMINSTER,LOT 3  BLOCK 665  PLAN VAP6011  DIS,,,4408000.0,2178000.0,2021.0,2186000.0,4092000.0,1998.0,1998.0,,4,2021
189213,015-160-521,STRATA,636124850054,63612485,FCCDD,Comprehensive Development,,VAS2535,FC,54,754,1515.0,2ND AVE W,V6J 5C5,HARE IN COM PROP THEREIN.,FC  NEW WESTMINSTER UNDIV 85/6074 S,LOT 54  PLAN VAS2535  DISTRICT LOT,,,590000.0,248000.0,2021.0,248000.0,596000.0,1989.0,1989.0,,7,2021
87817,014-057-166,LAND,790195260000,79019526,RS-1,One Family Dwelling,6,VAP2101,651,4,,328.0,49TH AVE E,V5W 2G6,,ICT LOT 651  NWD  BCAGROUP 1,LOT 4  BLOCK 6  PLAN VAP2101  DISTR,,,1186000.0,137000.0,2021.0,140000.0,1128000.0,1983.0,1983.0,,17,2021
93861,006-216-455,STRATA,616119960032,61611996,RM-5A,Multiple Family Dwelling,,VAS1047,185,32,408,1040.0,PACIFIC ST,V6E 4C1,3 SHARE IN COMMON PROP THEREIN.,185  NEW WESTMINSTER UNDIV 714/6033,LOT 32  PLAN VAS1047  DISTRICT LOT,,,362000.0,171000.0,2021.0,173000.0,342000.0,1982.0,1982.0,,27,2021
10710,030-785-464,STRATA,614124930127,61412493,CD-1 (551),Comprehensive Development,,EPS4792,541,127,1701,1283.0,HOWE ST,,AN INTEREST IN THE COMMON PROPERTY,541  NWD  BCAGROUP 1 TOGETHER WITH,LOT 127  PLAN EPS4792  DISTRICT LOT,IN PROPORTION TO THE UNIT ENTITLEM,ENT OF THE STRATA LOT AS SHOWN ON F,468000.0,181000.0,2021.0,177000.0,448000.0,,,,29,2021
40714,010-785-540,LAND,694075760000,69407576,RS-1,One Family Dwelling,527,VAP6873,526,10,,2418.0,19TH AVE W,V6L 1C7,,STRICT LOT 526  NEW WESTMINSTER,LOT 10  BLOCK 527  PLAN VAP6873  DI,,,2886000.0,539000.0,2021.0,550000.0,2698000.0,1994.0,1994.0,,4,2021
94622,029-800-528,STRATA,231698060002,23169806,RT-10,Two Family Dwelling,,EPS3501,747,2,,1468.0,21ST AVE E,V5N 5M7,,47  NWD GROUP 1.,LOT 2  PLAN EPS3501  DISTRICT LOT 7,,,896000.0,394000.0,2021.0,394000.0,836000.0,2015.0,2016.0,,15,2021
163303,011-499-141,LAND,688026920000,68802692,RS-1,One Family Dwelling,163,VAP4548,540,10,,4304.0,15TH AVE W,V6R 3A8,,STRICT LOT 540  NWD OF LOT 3.,LOT 10  BLOCK 163  PLAN VAP4548  DI,,,2200000.0,26800.0,2021.0,29000.0,2020000.0,1940.0,1940.0,,1,2021
168062,006-363-164,STRATA,640070970015,64007097,C-2,Commercial,,VAS1249,192,15,303,1977.0,STEPHENS ST,V6K 4M7,RE IN COM PROP THEREIN TOGETHER WIT,"192  NWD GROUP 1, UNDIV 59/1648 SHA",LOT 15  PLAN VAS1249  DISTRICT LOT,H AN INTEREST IN THE COMMON PROPERT,Y IN PROPORTION TO THE UNIT ENTITLE,419000.0,52900.0,2021.0,55400.0,401000.0,1982.0,1982.0,,2,2021
203239,010-982-221,LAND,701274130000,70127413,RS-1,One Family Dwelling,1,VAP6055,THSL,11,,2615.0,23RD AVE E,V5R 1A5,NE 1/4.,AP6055  DISTRICT LOT THSL  NWD PART,LOT 11  BLOCK 1  SECTION 46  PLAN V,,,1407000.0,316000.0,2021.0,330000.0,1319000.0,1968.0,1975.0,,22,2021
20260,030-296-757,LAND,710148730000,71014873,FSD,Comprehensive Development,73,EPP73095,526,A,,1037.0,KING EDWARD AVE W,V6H 1Z3,,TRICT LOT 526  NWD GROUP 1.,LOT A  BLOCK 73  PLAN EPP73095  DIS,,,5607000.0,7939000.0,2021.0,5836000.0,7710000.0,2019.0,2019.0,,8,2021
165011,005-309-573,STRATA,603114980013,60311498,RM-5,Multiple Family Dwelling,,VAS524,185,13,502,1500.0,HARO ST,V6G 1G5,SHARE IN COM PROP THEREIN.,85  NEW WESTMINSTER UNDIV 960/37234,LOT 13  PLAN VAS524  DISTRICT LOT 1,,,546000.0,200000.0,2021.0,202000.0,521000.0,1978.0,1978.0,,27,2021
80173,016-561-139,STRATA,770313380024,77031338,CD-1 (245),Comprehensive Development,,VAS2760,,24,C,3439.0,43RD AVE E,V5R 5X9,/26176 SHARE IN COM PROP THERIN.,"ER DISTRICT LOT 36 & 49, UNDIV 1211",LOT 24  PLAN VAS2760  NEW WESTMINST,,,402000.0,180000.0,2021.0,192000.0,369000.0,1990.0,1990.0,,24,2021
33052,003-001-318,LAND,641275390000,64127539,RS-1,One Family Dwelling,1,VAP1314,THSL,27,,2739.0,6TH AVE E,V5M 1R6,N 1/2.,AP1314  DISTRICT LOT THSL  NWD PART,LOT 27  BLOCK 1  SECTION 35  PLAN V,,,1272000.0,31800.0,2021.0,31200.0,1155000.0,1947.0,1947.0,,21,2021
211975,012-070-190,LAND,683255020000,68325502,RS-1,One Family Dwelling,168,VAP3886,264A,25,,2002.0,13TH AVE E,V5N 2C4,"T B, & DL 195.","STRICT LOT 264A  NWD GROUP 1, OF LO",LOT 25  BLOCK 168  PLAN VAP3886  DI,,,1411000.0,35500.0,2021.0,34700.0,1205000.0,1931.0,1931.0,,14,2021
187284,028-249-496,STRATA,179634200032,17963420,CD-1 (454),Comprehensive Development,,BCS3863,FC,32,302,1616.0,COLUMBIA ST,V5Y 0B7,N THE COMMON PROPERTY IN PROPORTION,FC  NWD TOGETHER WITH AN INTEREST I,LOT 32  PLAN BCS3863  DISTRICT LOT,TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",438000.0,159000.0,2021.0,157000.0,429000.0,2009.0,2009.0,,13,2021
145200,010-117-431,LAND,828242110000,82824211,RS-1,One Family Dwelling,21,VAP8363,FV,28,,1825.0,HARRISON DR,V5P 2P4,,TRICT LOT FV  NEW WESTMINSTER,LOT 28  BLOCK 21  PLAN VAP8363  DIS,,,1255000.0,14600.0,2021.0,15000.0,1079000.0,1950.0,1960.0,,25,2021
40974,004-077-601,LAND,772304050000,77230405,RS-1,One Family Dwelling,2,VAP3221,338,26,,3205.0,48TH AVE E,V5S 1H4,"1/4, EXCEPT NORTH 10FT NOW LANE.",RICT LOT 338  NWD PART SE 1/4 OF NW,LOT 26  BLOCK 2  PLAN VAP3221  DIST,,,1175000.0,42200.0,2021.0,43600.0,1043000.0,1965.0,1965.0,,24,2021
76506,029-992-231,STRATA,650201970039,65020197,C-2C,Commercial,,EPS3643,264A,39,511,2477.0,CAROLINA ST,V5T 0G8,INTEREST IN THE COMMON PROPERTY IN,"264A  NWD GROUP 1, TOGETHER WITH AN",LOT 39  PLAN EPS3643  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,511000.0,262000.0,2021.0,259000.0,485000.0,2016.0,2016.0,,13,2021
6223,006-338-411,STRATA,648206090025,64820609,RM-4,Multiple Family Dwelling,,VAS1238,264A,25,408,607.0,8TH AVE E,V5T 1T2,12 SHARE IN COM PROP THEREIN.,264A  NEW WESTMINSTER UNDIV 586/211,LOT 25  PLAN VAS1238  DISTRICT LOT,,,381000.0,78700.0,2021.0,82200.0,341000.0,1982.0,1982.0,,13,2021
36201,007-968-990,STRATA,664146440035,66414644,RM-3,Multiple Family Dwelling,,VAS1934,526,35,1001,1166.0,11TH AVE W,V6H 1K3,83 SHARE IN COM PROP THEREIN.,526  NEW WESTMINSTER UNDIV 1178/253,LOT 35  PLAN VAS1934  DISTRICT LOT,,,841000.0,342000.0,2021.0,342000.0,794000.0,1987.0,1987.0,,7,2021
61506,008-899-703,LAND,230728170000,23072817,RS-1,One Family Dwelling,5,VAP2451,391,17,,4817.0,KNIGHT ST,V5N 3N3,2.,"RICT LOT 391  NWD OF LOT 3, & DL 39",LOT 17  BLOCK 5  PLAN VAP2451  DIST,,,1014000.0,28700.0,2021.0,30200.0,906000.0,1920.0,1970.0,,19,2021
136512,024-219-266,STRATA,600110940032,60011094,RM-6,Multiple Family Dwelling,,LMS3432,185,32,706,1723.0,ALBERNI ST,V6G 3G9,61/9752 SHARE IN COM PROP THEREIN.,"185  NEW WESTMINSTER GROUP 1, UNDIV",LOT 32  PLAN LMS3432  DISTRICT LOT,,,475000.0,214000.0,2021.0,217000.0,488000.0,1998.0,1998.0,,27,2021
188026,028-228-898,STRATA,148602250060,14860225,DD,Comprehensive Development,,BCS3836,541,60,1101,833.0,HOMER ST,V6B 0H4,INTEREST IN THE COMMON PROPERTY IN,"541  NWD GROUP 1, TOGETHER WITH AN",LOT 60  PLAN BCS3836  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,398000.0,265000.0,2021.0,259000.0,364000.0,2010.0,2010.0,,29,2021
94822,004-128-613,STRATA,640035070044,64003507,RM-3A,Multiple Family Dwelling,,VAS484,538,44,302,3875.0,4TH AVE W,V6R 4H8,SHARE IN COM PROP THEREIN.,38  NEW WESTMINSTER UNDIV 151/10000,LOT 44  PLAN VAS484  DISTRICT LOT 5,,,440000.0,50600.0,2021.0,52800.0,417000.0,1977.0,1977.0,,1,2021
25462,017-581-290,STRATA,617121240224,61712124,CD-1 (195),Comprehensive Development,,VAS2613,FC,224,1901,1000.0,BEACH AVE,V6E 4M2,"STRICT, TOGETHER WITH AN INTEREST I","ICT LOT FC, NEW WESTMINSTER LAND DI","STRATA LOT 224, PLAN VAS2613, DISTR",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,961000.0,331000.0,2021.0,343000.0,978000.0,1991.0,1991.0,,30,2021
141033,006-144-861,LAND,810199110000,81019911,RS-1,One Family Dwelling,10,VAP2458,657,35,,511.0,57TH AVE E,V5X 1T1,,TRICT LOT 657  NEW WESTMINSTER,LOT 35  BLOCK 10  PLAN VAP2458  DIS,,,1129000.0,191000.0,2021.0,193000.0,1025000.0,1992.0,1992.0,,17,2021
1116,015-153-266,LAND,254604240000,25460424,RT-4,Two Family Dwelling,A,VAP725,264A,6,,1128.0,LILY ST,V5L 4H6,"STRICT LOT 264A, NEW WESTMINSTER LA","AN VAP725 & 1771, SUBSIDY LOT 2, DI","LOT 5&6 N HLF, BLOCK A&B OF 136, PL",ND DISTRICT.,,1364000.0,24900.0,2021.0,25500.0,1298000.0,1926.0,1960.0,,14,2021
149325,015-693-759,LAND,255575970000,25557597,RM-3A,Multiple Family Dwelling,9,VAP178,184,1,,2107.0,WALL ST,V5L 1B3,RIGHT OF WAY OF THE CANADIAN PACIF,CT LOT 184  NWD EXC PT SHOWN AS THE,LOT 1  BLOCK 9  PLAN VAP178  DISTRI,IC RAILWAY COMPANY ON PLAN IN DF 67,234.,1401000.0,53100.0,2021.0,54100.0,1239000.0,1960.0,1975.0,,14,2021
67517,005-355-117,STRATA,650232240041,65023224,RM-4N,Multiple Family Dwelling,,VAS533,264A,41,306,1440.0,BROADWAY E,V5N 5P2,5273 SHARE IN COM PROP THEREIN.,64A  NEW WESTMINSTER AN UNDIV 627/3,LOT 41  PLAN VAS533  DISTRICT LOT 2,,,461000.0,48300.0,2021.0,51200.0,458000.0,1978.0,1978.0,,14,2021
198052,009-236-660,LAND,590178600000,59017860,DEOD,Comprehensive Development,13,VAP184,196,11,,50.0,HASTINGS ST E,V6A 1N1,1K).,RICT LOT 196  NWD AMENDED (SEE 6324,LOT 11  BLOCK 13  PLAN VAP184  DIST,,,1217000.0,13100.0,2021.0,12800.0,1597000.0,1920.0,1920.0,,26,2021
18352,030-110-823,STRATA,172822020056,17282202,RM-9,,,EPS4065,323,56,211,7988.0,YUKON ST,V5X 2Y7,INTEREST IN THE COMMON PROPERTY IN,"323  NWD GROUP 1, TOGETHER WITH AN",LOT 56  PLAN EPS4065  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,744000.0,226000.0,2021.0,223000.0,751000.0,2017.0,2017.0,,12,2021
208000,014-692-899,STRATA,643037080019,64303708,RM-4,Multiple Family Dwelling,,VAS2472,176,19,101,2200.0,HIGHBURY ST,V6R 4N8,6 SHARE IN COM PROP THEREIN.,176  NEW WESTMINSTER UNDIV 743/7608,LOT 19  PLAN VAS2472  DISTRICT LOT,,,534000.0,116000.0,2021.0,117000.0,445000.0,1989.0,1989.0,,1,2021
45329,023-923-768,STRATA,148604510084,14860451,DD,Comprehensive Development,,LMS2969,541,84,905,939.0,HOMER ST,V6B 2W6,85 SHARE IN COM PROP THEREIN.,541  NEW WESTMINSTER UNDIV 455/2150,LOT 84  PLAN LMS2969  DISTRICT LOT,,,315000.0,150000.0,2021.0,148000.0,298000.0,1998.0,1998.0,,29,2021
95171,010-968-946,LAND,703266580000,70326658,RS-1,One Family Dwelling,1,VAP4492,741,B,,2258.0,24TH AVE E,V5N 2V2,O BLK 4.,"ICT LOT 741  NWD OF LOTS 17 & 18, T",LOT B  BLOCK 1  PLAN VAP4492  DISTR,,,1127000.0,280000.0,2021.0,285000.0,1017000.0,1998.0,1998.0,,23,2021
121538,030-940-401,STRATA,813175070051,81317507,RS-1,One Family Dwelling,,EPS5389,526,51,603,7428.0,ALBERTA ST,,AN INTEREST IN THE COMMON PROPERTY,526  NWD  BCAGROUP 1 TOGETHER WITH,LOT 51  PLAN EPS5389  DISTRICT LOT,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,1051000.0,585000.0,2021.0,217000.0,1236000.0,,,,11,2021
74181,029-922-682,STRATA,638194900063,63819490,IC-3,Light Industrial,4,EPS3641,200A,63,416,384.0,1ST AVE E,V5T 0G5,"WESTMINSTER LAND DISTRICT, TOGETHER","1, DISTRICT LOT 200A, GROUP 1, NEW","STRATA LOT 63, BLOCK 4, PLAN EPS364",WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,464000.0,270000.0,2021.0,265000.0,461000.0,2016.0,2016.0,,13,2021
31514,005-362-385,STRATA,690038530019,69003853,C-2,Commercial,,VAS537,540,19,205,3663.0,16TH AVE W,V6R 3C3,SHARE IN COM PROP THEREIN.,40  NEW WESTMINSTER UNDIV 612/22840,LOT 19  PLAN VAS537  DISTRICT LOT 5,,,455000.0,39100.0,2021.0,43300.0,455000.0,1977.0,1977.0,,1,2021
68286,023-674-091,STRATA,148612020060,14861202,HA-3,Historic Area,,LMS2686,541,60,,1211.0,HAMILTON ST,V6B 6K3,42 SHARE IN COM PROP THEREIN.,541  NEW WESTMINSTER UNDIV 1386/438,LOT 60  PLAN LMS2686  DISTRICT LOT,,,1333000.0,259000.0,2021.0,256000.0,1335000.0,1997.0,1997.0,,29,2021
142100,012-566-551,LAND,807212170000,80721217,RS-1,One Family Dwelling,3,VAP3592,658,17,,835.0,56TH AVE E,V5X 1S1,,RICT LOT 658  NEW WESTMINSTER,LOT 17  BLOCK 3  PLAN VAP3592  DIST,,,1264000.0,40000.0,2021.0,40300.0,1141000.0,1964.0,1964.0,,17,2021
209426,013-410-946,LAND,674020120000,67402012,RS-1,One Family Dwelling,152,VAP2822,540,4,,4680.0,11TH AVE W,V6R 2M7,,TRICT LOT 540  NWD OF LOT 4.,LOT 4  BLOCK 152  PLAN VAP2822  DIS,,,2200000.0,158000.0,2021.0,165000.0,2020000.0,1930.0,1980.0,,1,2021
81096,003-534-651,STRATA,648097750005,64809775,RM-4,Multiple Family Dwelling,,VAS160,526,5,102,1825.0,8TH AVE W,V6J 1V9,SHARE IN COM PROP THEREIN.,6  NEW WESTMINSTER UNDIV 323/10000,LOT 5  PLAN VAS160  DISTRICT LOT 52,,,448000.0,62400.0,2021.0,66300.0,427000.0,1974.0,1974.0,,2,2021
74003,026-167-930,STRATA,643130080176,64313008,C-3A,Commercial,,BCS1127,526,176,1802,1483.0,7TH AVE W,V6H 4H6,,526  NEW WESTMINSTER GROUP 1.,LOT 176  PLAN BCS1127  DISTRICT LOT,,,2666000.0,593000.0,2021.0,586000.0,2694000.0,2005.0,2005.0,,7,2021
103640,019-064-993,STRATA,650173930010,65017393,C-3A,Commercial,,LMS1696,302,10,201,223.0,BROADWAY W,V5Y 1P5,SHARE IN COM PROP THEREIN.,302  NEW WESTMINSTER UNDIV 553/8857,LOT 10  PLAN LMS1696  DISTRICT LOT,,,411000.0,69700.0,2021.0,70200.0,410000.0,1994.0,1994.0,,13,2021
115307,023-377-381,STRATA,839252420009,83925242,CD-1 (268),Comprehensive Development,,LMS2340,329,9,,2168.0,KENT AVENUE SOUTH E,V5P 4X2,R WITH AN INTEREST IN THE COMMON PR,"29  NWD GROUP 1, & DL 7824, TOGETHE",LOT 9  PLAN LMS2340  DISTRICT LOT 3,OPERTY IN PROPORTION TO THE UNIT EN,TITLEMENT OF THE STRATA LOT AS SHOW,864000.0,343000.0,2021.0,344000.0,818000.0,1996.0,1996.0,,18,2021
73249,023-426-781,STRATA,250634030007,25063403,C-2C1,Commercial,,LMS2405,264A,7,,1676.0,4TH AVE E,V5N 1J8,11/450 SHARE IN COM PROP THEREIN.,"64A  NEW WESTMINSTER GROUP 1, UNDIV",LOT 7  PLAN LMS2405  DISTRICT LOT 2,,,438000.0,133000.0,2021.0,133000.0,492000.0,1996.0,1996.0,,14,2021
155320,013-641-379,LAND,231765880000,23176588,RS-1,One Family Dwelling,,VAP2551,731,15,,6458.0,LANARK ST,V5P 2Z1,,731  NEW WESTMINSTER BLOCK 2 E HLF.,LOT 15  PLAN VAP2551  DISTRICT LOT,,,1271000.0,266000.0,2021.0,273000.0,1130000.0,1992.0,1995.0,,19,2021
122420,007-509-677,LAND,251823840000,25182384,RS-1,One Family Dwelling,30,16347,,3,,2155.0,BURQUITLAM DR,V5P 2P2,,STMINSTER DISTRICT LOT FRASERVIEW.,LOT 3  BLOCK 30  PLAN 16347  NEW WE,,,1470000.0,81900.0,2021.0,87600.0,1291000.0,1976.0,1976.0,,25,2021
